    0.997923D+01   0.531844D+01   0.243865D+01   0.146438D+01
    0.106110D+01   0.861244D+00   0.748900D+00   0.679837D+00
    0.634482D+00   0.603157D+00   0.580650D+00   0.563957D+00
    0.551251D+00   0.541370D+00   0.533549D+00   0.527264D+00
    0.522149D+00   0.517944D+00   0.514456D+00   0.511543D+00
    0.509098D+00   0.507039D+00   0.505301D+00   0.503836D+00
    0.502604D+00   0.501574D+00   0.500723D+00   0.500030D+00
    0.499482D+00   0.499066D+00   0.498775D+00   0.498603D+00
    0.498546D+00   0.498603D+00   0.498775D+00   0.499067D+00
    0.499482D+00   0.500030D+00   0.500723D+00   0.501574D+00
    0.502604D+00   0.503836D+00   0.505301D+00   0.507039D+00
    0.509098D+00   0.511543D+00   0.514456D+00   0.517944D+00
    0.522149D+00   0.527264D+00   0.533549D+00   0.541370D+00
    0.551251D+00   0.563957D+00   0.580650D+00   0.603157D+00
    0.634482D+00   0.679837D+00   0.748900D+00   0.861244D+00
    0.106110D+01   0.146438D+01   0.243865D+01   0.531844D+01
