    0.000000D+00  -0.473967D+01  -0.382485D+01  -0.286773D+01
   -0.223986D+01  -0.181854D+01  -0.152015D+01  -0.129842D+01
   -0.112707D+01  -0.990376D+00  -0.878443D+00  -0.784767D+00
   -0.704911D+00  -0.635744D+00  -0.575000D+00  -0.520997D+00
   -0.472460D+00  -0.428403D+00  -0.388053D+00  -0.350793D+00
   -0.316123D+00  -0.283634D+00  -0.252985D+00  -0.223890D+00
   -0.196104D+00  -0.169417D+00  -0.143644D+00  -0.118622D+00
   -0.942034D-01  -0.702539D-01  -0.466482D-01  -0.232681D-01
    0.000000D+00   0.232683D-01   0.466483D-01   0.702539D-01
    0.942034D-01   0.118622D+00   0.143644D+00   0.169417D+00
    0.196104D+00   0.223890D+00   0.252985D+00   0.283634D+00
    0.316123D+00   0.350793D+00   0.388053D+00   0.428403D+00
    0.472460D+00   0.520998D+00   0.575000D+00   0.635744D+00
    0.704911D+00   0.784768D+00   0.878443D+00   0.990376D+00
    0.112707D+01   0.129842D+01   0.152015D+01   0.181854D+01
    0.223986D+01   0.286773D+01   0.382485D+01   0.473967D+01
